word,count
lismahago,76
tabby,76
convenient,75
valuable,75
immortal,75
stab,75
joint,75
drawer,75
vague,75
writing,75
beam,75
conquest,75
formal,75
protector,75
stood,75
partner,75
bay,75
affliction,75
moderate,75
lantern,75
excess,75
forswear,75
stirling,75
hung,74
scold,74
puzzle,74
discontent,74
chill,74
annoy,74
qualify,74
control,74
better,74
wedding,74
centre,74
criminal,74
rear,74
publish,74
dearly,74
courtier,74
shark,74
revolt,74
thrive,74
nigh,74
silently,74
unnatural,74
hospitality,74
security,74
communication,74
countryman,74
caius,74
longbourn,74
rochefort,74
violently,73
lucky,73
knot,73
model,73
discuss,73
ascend,73
trunk,73
capacity,73
temptation,73
falsehood,73
holder,73
necessarily,73
lap,73
wooden,73
scratch,73
wisely,73
combat,73
henceforth,73
scot,73
device,73
confession,73
uneasiness,73
incur,73
romantic,73
scar,73
corn,73
